name,Prev week,This week,Rolling,group
DL이앤씨,0.1,2.18,1.09,Adjusted Price wt. Sentiment Score
대우조선해양,0.24,2.85,0.82,Adjusted Price wt. Sentiment Score
아모레퍼시픽,0.08,0.79,0.42,Adjusted Price wt. Sentiment Score
한화투자증권,0.23,2.25,0.72,Adjusted Price wt. Sentiment Score
테스,0.6,5.85,2.29,Adjusted Price wt. Sentiment Score
S-Oil,1.06,7.05,2.48,Adjusted Price wt. Sentiment Score
진에어,0.36,2.31,1.44,Adjusted Price wt. Sentiment Score
삼성전기,1.39,7.04,2.63,Adjusted Price wt. Sentiment Score
LG유플러스,1.8,9.0,3.64,Adjusted Price wt. Sentiment Score
포스코케미칼,1.51,7.5,4.39,Adjusted Price wt. Sentiment Score
한국콜마,1.01,4.8,1.45,Adjusted Price wt. Sentiment Score
한화생명,7.16,1.61,3.78,Adjusted Price wt. Sentiment Score
GS리테일,2.07,9.0,2.99,Adjusted Price wt. Sentiment Score
상상인증권,0.21,0.9,0.5,Adjusted Price wt. Sentiment Score
KT,5.8,1.37,2.69,Adjusted Price wt. Sentiment Score
삼성엔지니어링,2.51,0.6,1.43,Adjusted Price wt. Sentiment Score
NH투자증권,0.72,2.84,1.03,Adjusted Price wt. Sentiment Score
넷마블,0.14,0.55,0.19,Adjusted Price wt. Sentiment Score
우리금융지주,1.44,5.4,2.74,Adjusted Price wt. Sentiment Score
투비소프트,0.3,0.08,0.24,Adjusted Price wt. Sentiment Score
현대차,0.21,0.78,0.58,Adjusted Price wt. Sentiment Score
CJ대한통운,1.01,0.29,0.42,Adjusted Price wt. Sentiment Score
애경산업,4.46,15.0,4.86,Adjusted Price wt. Sentiment Score
SK하이닉스,0.25,0.84,2.05,Adjusted Price wt. Sentiment Score
BNK금융지주,0.03,0.1,0.06,Adjusted Price wt. Sentiment Score
DL이앤씨,0.1,2.18,1.09,Market Capitalization wt. Sentiment Score
대우조선해양,0.24,2.85,0.82,Market Capitalization wt. Sentiment Score
아모레퍼시픽,0.08,0.79,0.42,Market Capitalization wt. Sentiment Score
한화투자증권,0.23,2.25,0.72,Market Capitalization wt. Sentiment Score
테스,0.6,5.85,2.29,Market Capitalization wt. Sentiment Score
S-Oil,1.06,7.05,2.48,Market Capitalization wt. Sentiment Score
진에어,0.36,2.31,1.44,Market Capitalization wt. Sentiment Score
삼성전기,1.39,7.04,2.63,Market Capitalization wt. Sentiment Score
LG유플러스,1.8,9.0,3.64,Market Capitalization wt. Sentiment Score
포스코케미칼,1.51,7.5,4.39,Market Capitalization wt. Sentiment Score
한국콜마,1.01,4.8,1.45,Market Capitalization wt. Sentiment Score
한화생명,7.16,1.61,3.78,Market Capitalization wt. Sentiment Score
GS리테일,2.07,9.0,2.99,Market Capitalization wt. Sentiment Score
상상인증권,0.21,0.9,0.5,Market Capitalization wt. Sentiment Score
KT,5.8,1.37,2.69,Market Capitalization wt. Sentiment Score
삼성엔지니어링,2.51,0.6,1.43,Market Capitalization wt. Sentiment Score
NH투자증권,0.72,2.84,1.03,Market Capitalization wt. Sentiment Score
넷마블,0.14,0.55,0.19,Market Capitalization wt. Sentiment Score
우리금융지주,1.44,5.4,2.74,Market Capitalization wt. Sentiment Score
현대차,0.21,0.78,0.58,Market Capitalization wt. Sentiment Score
CJ대한통운,1.01,0.29,0.42,Market Capitalization wt. Sentiment Score
애경산업,4.46,15.0,4.86,Market Capitalization wt. Sentiment Score
SK하이닉스,0.25,0.84,2.05,Market Capitalization wt. Sentiment Score
대신증권,0.4,1.3,0.51,Market Capitalization wt. Sentiment Score
SK텔레콤,0.11,0.35,0.3,Market Capitalization wt. Sentiment Score
LX하우시스,0.13,15.0,3.85,Transaction Volume wt. Sentiment Score
이베스트투자증권,0.07,4.45,2.0,Transaction Volume wt. Sentiment Score
오리온,0.22,7.05,1.91,Transaction Volume wt. Sentiment Score
진에어,0.07,2.1,0.7,Transaction Volume wt. Sentiment Score
테스,0.6,15.0,4.72,Transaction Volume wt. Sentiment Score
SK텔레콤,0.01,0.18,0.15,Transaction Volume wt. Sentiment Score
효성,0.37,6.45,2.13,Transaction Volume wt. Sentiment Score
NH투자증권,0.62,10.5,4.78,Transaction Volume wt. Sentiment Score
웅진씽크빅,0.21,2.37,0.76,Transaction Volume wt. Sentiment Score
롯데쇼핑,0.43,4.5,1.23,Transaction Volume wt. Sentiment Score
크리스탈지노믹스,0.18,1.78,4.25,Transaction Volume wt. Sentiment Score
E1,1.5,14.25,5.89,Transaction Volume wt. Sentiment Score
한화,0.68,0.08,0.44,Transaction Volume wt. Sentiment Score
아난티,0.04,0.3,0.08,Transaction Volume wt. Sentiment Score
CJ,2.52,0.34,1.6,Transaction Volume wt. Sentiment Score
한진,0.03,0.21,0.07,Transaction Volume wt. Sentiment Score
신세계,2.07,14.25,4.4,Transaction Volume wt. Sentiment Score
위메이드,10.5,1.77,4.94,Transaction Volume wt. Sentiment Score
넷마블,0.41,2.35,1.1,Transaction Volume wt. Sentiment Score
카카오게임즈,0.54,0.1,0.22,Transaction Volume wt. Sentiment Score
HD현대,0.98,5.28,2.54,Transaction Volume wt. Sentiment Score
KT,4.05,0.77,1.55,Transaction Volume wt. Sentiment Score
대우조선해양,0.03,0.15,0.1,Transaction Volume wt. Sentiment Score
엔지켐생명과학,2.19,0.45,1.76,Transaction Volume wt. Sentiment Score
포스코케미칼,0.54,2.62,3.08,Transaction Volume wt. Sentiment Score
LX하우시스,0.07,15.0,3.8,Transaction Amount wt. Sentiment Score
이베스트투자증권,0.03,3.04,1.36,Transaction Amount wt. Sentiment Score
LG,0.38,0.01,1.31,Transaction Amount wt. Sentiment Score
오리온,0.22,6.6,1.8,Transaction Amount wt. Sentiment Score
NH투자증권,0.52,10.5,4.62,Transaction Amount wt. Sentiment Score
효성,0.34,6.45,2.16,Transaction Amount wt. Sentiment Score
SK텔레콤,0.01,0.16,0.12,Transaction Amount wt. Sentiment Score
E1,1.05,13.8,5.48,Transaction Amount wt. Sentiment Score
웅진씽크빅,0.21,2.55,0.8,Transaction Amount wt. Sentiment Score
롯데쇼핑,0.38,3.81,1.05,Transaction Amount wt. Sentiment Score
카카오게임즈,0.34,0.04,0.12,Transaction Amount wt. Sentiment Score
크리스탈지노믹스,0.24,2.0,4.27,Transaction Amount wt. Sentiment Score
아난티,0.57,4.35,1.23,Transaction Amount wt. Sentiment Score
신세계,1.94,13.35,4.12,Transaction Amount wt. Sentiment Score
동국제강,0.1,0.64,0.22,Transaction Amount wt. Sentiment Score
넷마블,0.21,1.31,0.55,Transaction Amount wt. Sentiment Score
현대차,0.38,2.3,2.5,Transaction Amount wt. Sentiment Score
위메이드,10.5,1.77,4.72,Transaction Amount wt. Sentiment Score
CJ,2.74,0.48,1.8,Transaction Amount wt. Sentiment Score
포스코케미칼,0.72,3.82,3.68,Transaction Amount wt. Sentiment Score
KT,4.59,0.88,1.78,Transaction Amount wt. Sentiment Score
투비소프트,2.7,0.52,2.16,Transaction Amount wt. Sentiment Score
대신증권,0.88,4.15,2.62,Transaction Amount wt. Sentiment Score
국보,1.35,0.3,1.24,Transaction Amount wt. Sentiment Score
한진,0.03,0.13,0.05,Transaction Amount wt. Sentiment Score
