sector,Prev week,This week,Rolling,group
유통업,0.23,7.05,2.64,Adjusted Price wt. Sentiment Score
오락·문화,0.17,4.8,1.6,Adjusted Price wt. Sentiment Score
의약품,6.9,0.26,3.74,Adjusted Price wt. Sentiment Score
IT부품,2.35,0.14,3.8,Adjusted Price wt. Sentiment Score
소프트웨어,2.06,0.19,1.4,Adjusted Price wt. Sentiment Score
운수창고업,1.17,8.85,2.96,Adjusted Price wt. Sentiment Score
기계·장비,1.8,0.28,1.61,Adjusted Price wt. Sentiment Score
금속,2.02,11.2,5.68,Adjusted Price wt. Sentiment Score
디지털컨텐츠,2.43,0.55,1.0,Adjusted Price wt. Sentiment Score
전기전자,4.97,1.29,4.0,Adjusted Price wt. Sentiment Score
출판·매체복제,0.19,0.66,1.7,Adjusted Price wt. Sentiment Score
건설업,0.1,0.28,0.22,Adjusted Price wt. Sentiment Score
기타금융,2.02,0.81,0.95,Adjusted Price wt. Sentiment Score
화학,1.04,0.44,0.74,Adjusted Price wt. Sentiment Score
금융,1.35,2.98,2.82,Adjusted Price wt. Sentiment Score
종이목재,5.55,12.15,7.19,Adjusted Price wt. Sentiment Score
방송서비스,6.93,3.71,5.36,Adjusted Price wt. Sentiment Score
통신업,1.02,1.86,1.78,Adjusted Price wt. Sentiment Score
서비스업,0.82,1.35,0.54,Adjusted Price wt. Sentiment Score
비금속광물,6.5,10.69,8.38,Adjusted Price wt. Sentiment Score
기타서비스,3.66,5.84,3.65,Adjusted Price wt. Sentiment Score
숙박·음식,0.09,0.13,0.06,Adjusted Price wt. Sentiment Score
철강금속,12.0,14.55,9.55,Adjusted Price wt. Sentiment Score
반도체,2.84,3.28,2.88,Adjusted Price wt. Sentiment Score
의약품,5.93,0.12,3.46,Market Capitalization wt. Sentiment Score
서비스업,3.48,0.09,0.93,Market Capitalization wt. Sentiment Score
종이목재,7.95,0.24,5.5,Market Capitalization wt. Sentiment Score
IT부품,2.22,0.11,3.74,Market Capitalization wt. Sentiment Score
금속,1.26,8.22,4.78,Market Capitalization wt. Sentiment Score
기계·장비,0.7,0.13,0.9,Market Capitalization wt. Sentiment Score
출판·매체복제,0.49,0.15,1.35,Market Capitalization wt. Sentiment Score
증권,1.21,3.75,1.54,Market Capitalization wt. Sentiment Score
음식료품,1.5,3.45,3.12,Market Capitalization wt. Sentiment Score
기타서비스,1.09,2.48,2.78,Market Capitalization wt. Sentiment Score
기타금융,2.63,1.24,1.54,Market Capitalization wt. Sentiment Score
반도체,8.78,4.19,4.33,Market Capitalization wt. Sentiment Score
건설업,0.56,0.28,0.66,Market Capitalization wt. Sentiment Score
금융,1.31,2.59,2.72,Market Capitalization wt. Sentiment Score
방송서비스,6.84,3.66,5.29,Market Capitalization wt. Sentiment Score
소프트웨어,3.31,1.92,2.34,Market Capitalization wt. Sentiment Score
철강금속,10.95,6.4,8.67,Market Capitalization wt. Sentiment Score
비금속광물,6.81,10.37,8.38,Market Capitalization wt. Sentiment Score
화학,2.17,1.51,1.47,Market Capitalization wt. Sentiment Score
유통업,0.54,0.45,3.92,Market Capitalization wt. Sentiment Score
숙박·음식,2.74,3.22,3.76,Market Capitalization wt. Sentiment Score
운수창고업,3.7,3.19,1.75,Market Capitalization wt. Sentiment Score
전기전자,5.97,6.32,6.04,Market Capitalization wt. Sentiment Score
통신업,1.95,2.05,1.92,Market Capitalization wt. Sentiment Score
금융,0.04,5.28,1.48,Transaction Volume wt. Sentiment Score
금속,12.6,0.25,4.37,Transaction Volume wt. Sentiment Score
운수창고업,3.12,0.27,0.91,Transaction Volume wt. Sentiment Score
디지털컨텐츠,2.24,0.21,1.06,Transaction Volume wt. Sentiment Score
숙박·음식,0.57,4.35,1.23,Transaction Volume wt. Sentiment Score
기계·장비,0.02,0.13,0.55,Transaction Volume wt. Sentiment Score
오락·문화,0.28,0.05,0.09,Transaction Volume wt. Sentiment Score
통신업,2.98,0.84,1.09,Transaction Volume wt. Sentiment Score
증권,2.31,7.65,3.13,Transaction Volume wt. Sentiment Score
화학,1.61,0.63,0.88,Transaction Volume wt. Sentiment Score
반도체,0.18,0.45,0.22,Transaction Volume wt. Sentiment Score
음식료품,1.62,3.75,1.4,Transaction Volume wt. Sentiment Score
IT부품,0.22,0.4,4.5,Transaction Volume wt. Sentiment Score
서비스업,2.74,1.62,1.3,Transaction Volume wt. Sentiment Score
운송장비·부품,0.36,0.23,0.22,Transaction Volume wt. Sentiment Score
기타서비스,0.3,0.2,3.48,Transaction Volume wt. Sentiment Score
소프트웨어,0.34,0.47,0.51,Transaction Volume wt. Sentiment Score
철강금속,2.55,3.35,2.61,Transaction Volume wt. Sentiment Score
건설업,0.78,0.6,0.85,Transaction Volume wt. Sentiment Score
기타금융,3.1,3.83,3.57,Transaction Volume wt. Sentiment Score
비금속광물,5.28,4.64,6.87,Transaction Volume wt. Sentiment Score
전기전자,5.58,5.42,5.82,Transaction Volume wt. Sentiment Score
오락·문화,0.08,1.78,0.6,Transaction Amount wt. Sentiment Score
디지털컨텐츠,2.71,0.15,1.12,Transaction Amount wt. Sentiment Score
IT부품,0.7,0.06,2.65,Transaction Amount wt. Sentiment Score
금속,12.6,1.25,4.43,Transaction Amount wt. Sentiment Score
유통업,0.6,4.8,3.28,Transaction Amount wt. Sentiment Score
숙박·음식,0.57,4.35,1.23,Transaction Amount wt. Sentiment Score
기타금융,1.76,0.27,1.04,Transaction Amount wt. Sentiment Score
소프트웨어,4.61,0.76,2.2,Transaction Amount wt. Sentiment Score
증권,1.14,4.82,2.46,Transaction Amount wt. Sentiment Score
운수창고업,3.12,0.88,1.04,Transaction Amount wt. Sentiment Score
기계·장비,0.09,0.25,0.68,Transaction Amount wt. Sentiment Score
화학,4.35,1.76,2.24,Transaction Amount wt. Sentiment Score
금융,0.68,1.54,2.18,Transaction Amount wt. Sentiment Score
음식료품,0.81,1.65,0.75,Transaction Amount wt. Sentiment Score
반도체,1.74,3.33,1.51,Transaction Amount wt. Sentiment Score
통신업,1.49,0.84,0.75,Transaction Amount wt. Sentiment Score
비금속광물,4.21,6.8,7.32,Transaction Amount wt. Sentiment Score
방송서비스,0.27,0.4,0.29,Transaction Amount wt. Sentiment Score
건설업,0.54,0.6,0.71,Transaction Amount wt. Sentiment Score
서비스업,2.84,3.06,1.62,Transaction Amount wt. Sentiment Score
전기전자,5.97,5.68,6.19,Transaction Amount wt. Sentiment Score
철강금속,10.65,10.62,9.36,Transaction Amount wt. Sentiment Score
