sector,Prev week,This week,Rolling,group
Technology,10.92,1.67,6.82,Transaction Amount wt. Sentiment Score
Electronics & Computers,8.23,2.8,4.57,Transaction Amount wt. Sentiment Score
Consumer Cyclical,4.24,11.87,6.23,Transaction Amount wt. Sentiment Score
Leisure & Travel,12.8,5.0,6.23,Transaction Amount wt. Sentiment Score
Non-Metal Materials,10.31,5.0,7.14,Transaction Amount wt. Sentiment Score
Energy,2.6,5.0,3.91,Transaction Amount wt. Sentiment Score
Telecommunications,14.2,7.42,7.29,Transaction Amount wt. Sentiment Score
Medical & Healthcare,2.99,5.0,5.4,Transaction Amount wt. Sentiment Score
Gaming & Entertainment,8.2,4.97,5.27,Transaction Amount wt. Sentiment Score
Semiconductors,8.34,13.6,7.59,Transaction Amount wt. Sentiment Score
Shipping & Transportation,5.75,3.7,5.76,Transaction Amount wt. Sentiment Score
Aerospace & Defense,7.17,5.0,5.48,Transaction Amount wt. Sentiment Score
Banks,4.1,5.86,4.75,Transaction Amount wt. Sentiment Score
Automotive,7.0,5.0,6.41,Transaction Amount wt. Sentiment Score
Metals & Mining,10.09,13.3,9.84,Transaction Amount wt. Sentiment Score
Financials,5.0,6.42,4.74,Transaction Amount wt. Sentiment Score
Real Estate,6.93,8.55,7.64,Transaction Amount wt. Sentiment Score
Food & Beverage,10.7,8.83,11.09,Transaction Amount wt. Sentiment Score
Professional & Business Services,7.9,6.63,6.78,Transaction Amount wt. Sentiment Score
Retail,4.2,5.0,5.94,Transaction Amount wt. Sentiment Score
Software,6.55,6.07,8.2,Transaction Amount wt. Sentiment Score
Internet,6.48,6.2,8.46,Transaction Amount wt. Sentiment Score
Pharmaceutical,2.37,2.3,4.23,Transaction Amount wt. Sentiment Score
Biotechnology,4.7,4.7,4.97,Transaction Amount wt. Sentiment Score
Insurance,1.67,1.67,4.07,Transaction Amount wt. Sentiment Score
Shipping & Transportation,12.5,1.67,6.45,Social Score wt. Sentiment Score
Industrials,8.9,1.67,4.74,Social Score wt. Sentiment Score
Technology,6.53,1.67,4.56,Social Score wt. Sentiment Score
Telecommunications,10.9,3.2,7.38,Social Score wt. Sentiment Score
Food & Beverage,14.2,4.8,11.31,Social Score wt. Sentiment Score
Electronics & Computers,7.54,2.8,4.53,Social Score wt. Sentiment Score
Software,9.87,3.7,6.86,Social Score wt. Sentiment Score
Non-Metal Materials,12.84,5.0,6.75,Social Score wt. Sentiment Score
Leisure & Travel,12.8,5.0,6.1,Social Score wt. Sentiment Score
Medical & Healthcare,1.98,5.0,3.8,Social Score wt. Sentiment Score
Energy,2.91,6.9,4.54,Social Score wt. Sentiment Score
Gaming & Entertainment,11.2,4.97,6.51,Social Score wt. Sentiment Score
Automotive,3.6,1.67,4.98,Social Score wt. Sentiment Score
Internet,7.63,5.0,9.03,Social Score wt. Sentiment Score
Aerospace & Defense,7.54,5.0,5.78,Social Score wt. Sentiment Score
Metals & Mining,10.17,7.0,7.92,Social Score wt. Sentiment Score
Financials,7.0,4.87,5.56,Social Score wt. Sentiment Score
Semiconductors,7.83,10.61,6.98,Social Score wt. Sentiment Score
Banks,4.43,4.97,4.7,Social Score wt. Sentiment Score
Real Estate,4.5,4.95,6.14,Social Score wt. Sentiment Score
Pharmaceutical,2.13,2.3,4.01,Social Score wt. Sentiment Score
Consumer Cyclical,4.38,4.33,5.45,Social Score wt. Sentiment Score
Biotechnology,4.7,4.7,4.51,Social Score wt. Sentiment Score
Insurance,1.77,1.77,3.6,Social Score wt. Sentiment Score
Utilities,6.75,6.75,6.48,Social Score wt. Sentiment Score
